word,log_odds
query,7.326869885164186
hope,7.280327299227156
then,6.964299805779477
hello,6.634992180526518
hi,6.634992180526518
so,6.559043327293219
suggest,6.478872978609235
my,6.478872978609235
thanks,6.478872978609235
concern,6.303786272051145
me,6.207570956791842
would,6.207570956791842
need,6.207570956791842
answered,6.207570956791842
dr.,6.207570956791842
regards,6.104477463827737
dear,5.993446151438994
worry,5.873151917721282
physician,5.873151917721282
understand,5.74190738444303
know,5.74190738444303
done,5.74190738444303
question,5.597517475107854
welcome,5.597517475107854
assist,5.597517475107854
let,5.597517475107854
all,5.597517475107854
urine,5.597517475107854
antibiotics,5.597517475107854
case,5.597517475107854
no,5.437052802914609
was,5.437052802914609
go,5.437052802914609
allergy,5.256480557272788
days,5.256480557272788
opinion,5.256480557272788
least,5.256480557272788
present,5.256480557272788
2,5.256480557272788
wish,5.050029679805362
feel,5.050029679805362
please,5.050029679805362
food,5.050029679805362
age,5.050029679805362
he,5.050029679805362
better,5.050029679805362
examination,5.050029679805362
problem,5.050029679805362
3,5.050029679805362
first,5.050029679805362
start,5.050029679805362
complete,5.050029679805362
very,5.050029679805362
magic,5.050029679805362
veneers,5.050029679805362
answer,5.050029679805362
n't,5.050029679805362
found,4.809021580301566
once,4.809021580301566
penis,4.809021580301566
biopsy,4.809021580301566
abdomen,4.809021580301566
been,4.809021580301566
1,4.809021580301566
only,4.809021580301566
every,4.809021580301566
family,4.809021580301566
drugs,4.809021580301566
one,4.809021580301566
wishes,4.809021580301566
having,4.809021580301566
usually,4.809021580301566
diseases,4.809021580301566
details,4.809021580301566
here,4.809021580301566
again,4.809021580301566
times,4.809021580301566
thoughts,4.809021580301566
cm,4.809021580301566
medicine,4.809021580301566
dentist,4.809021580301566
patients,4.809021580301566
ultrasound,4.809021580301566
i,3.6514803033150867
like,2.728101584917999
further,2.6935443628816307
take,2.4592144528387676
care,2.300680361183323
should,2.216323430800805
due,2.1975868682192194
day,1.9776211842773115
at,1.9114688492723844
has,1.8350167888345112
through,1.7970489386354909
ask,1.7970489386354909
normal,1.7970489386354909
out,1.7856890764709425
after,1.7802243159941316
water,1.7366130847735166
get,1.7239854764457674
