word,log_odds
important,6.502159079751788
healthcare,6.22783886637148
provider,5.869578558797892
's,5.70569247383692
medications,5.250322880522858
they,4.990260041220355
determine,4.990260041220355
professional,4.879228728831611
medical,4.533053087697572
condition,4.43176975186039
experiencing,4.43176975186039
recommend,4.322835380307226
follow,4.322835380307226
caused,4.265119882450938
causes,4.265119882450938
try,4.265119882450938
reduce,4.204998890013368
include,4.204998890013368
conditions,4.204998890013368
including,4.142263134665405
medication,4.142263134665405
improve,4.142263134665405
speak,4.142263134665405
side,4.076674793037829
appropriate,4.076674793037829
problems,4.007962042953814
chest,4.007962042953814
potential,3.935812257197979
hair,3.935812257197979
rash,3.85986340396468
attention,3.85986340396468
effects,3.85986340396468
proper,3.779693055280697
able,3.779693055280697
plan,3.694804157694184
underlying,3.694804157694184
changes,3.694804157694184
during,3.6046063487226054
abdominal,3.6046063487226054
body,3.6046063487226054
infections,3.6046063487226054
specific,3.5083910334633024
used,3.5083910334633024
seek,3.5083910334633024
provide,3.5083910334633024
generally,3.5083910334633024
over,3.405297540499199
allergic,3.405297540499199
when,3.405297540499199
recommended,3.405297540499199
concerns,3.405297540499199
their,3.2942662281104553
meantime,3.2942662281104553
risk,3.2942662281104553
however,3.2942662281104553
before,3.2942662281104553
alcohol,3.2942662281104553
certain,3.2942662281104553
severe,3.2942662281104553
prescribed,3.1739719943927436
treat,3.1739719943927436
manage,3.1739719943927436
up,3.1739719943927436
factors,3.1739719943927436
common,3.1739719943927436
concerned,3.0427274611144908
treatments,3.0427274611144908
them,3.0427274611144908
inflammation,3.0427274611144908
consider,3.0427274611144908
sign,3.0427274611144908
her,3.0427274611144908
serious,3.0427274611144908
lifestyle,3.0427274611144908
levels,3.0427274611144908
mouth,3.0427274611144908
counter,3.0427274611144908
people,3.0427274611144908
options,3.0427274611144908
see,3.0427274611144908
area,3.0427274611144908
swelling,3.0427274611144908
baby,3.0427274611144908
experience,3.0427274611144908
enoxaparin,3.0427274611144908
note,3.0427274611144908
daughter,2.8983375517793157
variety,2.8983375517793157
serum,2.8983375517793157
fluoride,2.8983375517793157
discuss,2.8983375517793157
epilepsy,2.8983375517793157
growth,2.8983375517793157
son,2.8983375517793157
new,2.8983375517793157
albumin,2.8983375517793157
prevent,2.8983375517793157
soon,2.8983375517793157
jaw,2.8983375517793157
lower,2.8983375517793157
