word,log_odds
creditworthiness,7.185409138567496
predetermined,6.814693970273947
personalized,6.777461064074972
challenging,6.531300476805574
2021,6.508757908154486
align,6.340252183797507
aligns,6.340252183797507
diverse,6.206573748565538
counselor,6.178284704134114
topics,6.119986063569447
apps,6.119986063569447
operates,6.089928829713267
candlestick,6.027867861581016
thorough,5.995806652348717
unauthorized,5.929464157520021
experiencing,5.929464157520021
aligned,5.929464157520021
selecting,5.859923224266945
alerts,5.7488919118782
matures,5.709897780262337
reviewing,5.669820340887002
swift,5.669820340887002
prioritize,5.669820340887002
drawbacks,5.628597678160489
indicative,5.628597678160489
averse,5.5861624118400925
facilitate,5.5861624118400925
developments,5.450810558945206
smooth,5.450810558945206
conducting,5.450810558945206
outlines,5.450810558945206
tasks,5.402716270744161
engaging,5.402716270744161
implementing,5.402716270744161
conjunction,5.402716270744161
narrow,5.352963235547061
discrepancies,5.352963235547061
credentials,5.352963235547061
transparent,5.352963235547061
hardship,5.3014329349069795
kingdom,5.3014329349069795
identifying,5.3014329349069795
complying,5.3014329349069795
diapers,5.3014329349069795
progress,5.3014329349069795
updates,5.3014329349069795
va,5.3014329349069795
internationally,5.192498563353816
delays,5.192498563353816
consolidating,5.192498563353816
buybacks,5.134783065497528
achieving,5.134783065497528
ensuring,5.134783065497528
importance,5.134783065497528
islamic,5.134783065497528
scholarships,5.074662073059957
overspending,5.074662073059957
ssa,5.074662073059957
campaign,5.074662073059957
bullish,5.074662073059957
landscape,5.074662073059957
dealerships,5.074662073059957
streaming,5.074662073059957
linux,5.074662073059957
drawdown,5.074662073059957
conflicts,5.011926317711994
maintained,5.011926317711994
motivated,5.011926317711994
insights,5.011926317711994
bondholder,5.011926317711994
indicating,5.011926317711994
dcf,4.9463379760844175
smoothly,4.9463379760844175
policyholder,4.9463379760844175
subscriptions,4.9463379760844175
customize,4.9463379760844175
downturns,4.9463379760844175
scammer,4.9463379760844175
ethical,4.9463379760844175
executing,4.877625226000403
gauge,4.877625226000403
familiarize,4.877625226000403
mindful,4.877625226000403
wisely,4.877625226000403
cloth,4.877625226000403
transparency,4.877625226000403
"""the",4.877625226000403
canceling,4.805475440244568
locate,4.805475440244568
households,4.805475440244568
accessed,4.805475440244568
marketplace,4.805475440244568
amenities,4.805475440244568
usda,4.805475440244568
unclaimed,4.805475440244568
misunderstandings,4.72952658701127
apis,4.72952658701127
repurchased,4.72952658701127
focuses,4.72952658701127
2106,4.72952658701127
