word,log_odds
probably,10.429753489376791
thus,9.134562807145647
pretty,9.068641414199945
maybe,9.015202155238484
seems,8.96776681244073
whatever,8.918718631195942
article,8.806356265739984
basically,8.788265808757087
gets,8.723100762090631
assume,8.664802121525964
perhaps,8.614353098838606
says,8.485551327811558
ago,8.187285910698563
huge,8.145262695802856
definitely,8.11655139916133
answers,8.11655139916133
anyway,7.963742555881937
edit,7.947532328700678
stuff,7.931137890450009
saying,7.828654932848758
m,7.810843656732297
pick,7.810843656732297
complicated,7.792809733902035
obviously,7.774547527509307
opinion,7.699095299079842
guess,7.6397981153960695
mention,7.6397981153960695
count,7.619478131016474
except,7.619478131016474
mostly,7.577958861578207
sort,7.556742375668511
2000,7.5133497801551306
vs,7.445711063279767
somewhere,7.398790015892274
2016,7.398790015892274
instance,7.398790015892274
nice,7.398790015892274
pull,7.374744541925624
nearly,7.374744541925624
interesting,7.350291498201084
doubt,7.325416829562055
2014,7.325416829562055
described,7.300105741032868
somewhat,7.300105741032868
comments,7.300105741032868
comment,7.274342644967787
thousands,7.274342644967787
info,7.274342644967787
imagine,7.248111103394606
nobody,7.194172296283803
win,7.194172296283803
usa,7.166427305800899
s&p500,7.166427305800899
technically,7.166427305800899
y,7.138138261369475
worst,7.138138261369475
kinds,7.138138261369475
lets,7.138138261369475
knows,7.10928339869729
came,7.079839620804807
story,7.079839620804807
guy,7.079839620804807
extremely,7.049782386948628
myself,7.049782386948628
wikipedia,7.049782386948628
gave,7.049782386948628
forget,7.019085589725711
hence,7.019085589725711
ie,7.019085589725711
nor,7.019085589725711
decent,6.987721418816377
unfortunately,6.987721418816377
neither,6.987721418816377
nt,6.987721418816377
10k,6.987721418816377
supposed,6.955660209584078
rs,6.922870274466408
se,6.922870274466408
presumably,6.922870274466408
looked,6.889317714755382
yearly,6.854966209964605
obvious,6.854966209964605
watch,6.854966209964605
tv,6.854966209964605
heard,6.854966209964605
ignore,6.854966209964605
told,6.7837075267947835
exception,6.7837075267947835
strongly,6.7467133193125814
folks,6.7467133193125814
anywhere,6.7467133193125814
'd,6.714652110080284
wrote,6.708745469113561
ea,6.708745469113561
2012,6.708745469113561
tried,6.669751337497697
love,6.629673898122363
declare,6.629673898122363
ten,6.629673898122363
bigger,6.629673898122363
